europe.city-maiden-castle | Maiden Castle | Europe | s=-600 e=-43 ext=None b=[-636, -564] | typological | h=None ds=None | Largest Iron Age hillfort in Britain; proto-urban tribal centre, not a city. | al=Dorset
west-asia.city-smyrna | Smyrna | West Asia | s=-3000 e=None ext=True b=[-3180, -2820] | typological | h=None ds=None | Aegean port with a claim on Homer, refounded by Alexander's successors as a great Roman city. | al=Izmir,Old Smyrna
west-asia.city-sohar | Sohar | West Asia | s=-300 e=None ext=True b=[-350, -250] | typological | h=None ds=None | Oman's copper and Indian Ocean trading port, Sindbad's traditional home. | al=Suhar,Al Batinah
west-asia.city-sumhuram | Sumhuram | West Asia | s=-300 e=400 ext=None b=[-325, -275] | typological | h=None ds=None | Hadrami frankincense port shipping Dhofar resin to Rome and India. | al=Khor Rori,Moscha Limen,Dhofar
west-asia.city-tabriz | Tabriz | West Asia | s=300 e=None ext=True b=[275, 325] | typological | h=None ds=None | Ilkhanid capital and the greatest Silk Road market of the Mongol west. | al=Tauris,East Azerbaijan
west-asia.city-taif | Ta'if | West Asia | s=200 e=None ext=True b=[150, 250] | typological | h=None ds=None | Highland fruit-growing town and summer refuge for Mecca's elite. | al=Taif,Makkah
west-asia.city-takht-e-soleyman | Shiz | West Asia | s=400 e=1300 ext=None b=[340, 460] | typological | h=None ds=None | Sasanian fire-temple sanctuary city around a volcanic lake; largely ceremonial. | al=Takht-e Soleyman,Ganzak nearby,West Azerbaijan
west-asia.city-tarim | Tarim | West Asia | s=400 e=None ext=True b=[340, 460] | typological | h=None ds=None | Hadrami centre of Sufi scholarship that seeded Islam across the Indian Ocean. | al=Hadramawt
west-asia.city-tarsus | Tarsus | West Asia | s=-4000 e=None ext=True b=[-4240, -3760] | typological | h=None ds=None | Cilician capital, a great school city and Paul's birthplace. | al=Tarsos,Mersin
west-asia.city-tayma | Tayma | West Asia | s=-1500 e=None ext=True b=[-1590, -1410] | typological | h=None ds=None | Walled north Arabian oasis where Nabonidus of Babylon lived in self-exile. | al=Teima,Tema,Tabuk
west-asia.city-tbilisi | Tbilisi | West Asia | s=455 e=None ext=True b=[428, 482] | typological | h=None ds=None | Kura crossing capital of Georgia and a Silk Road meeting point. | al=Tiflis
west-asia.city-teishebaini | Teishebaini | West Asia | s=-650 e=-590 ext=None b=[-747, -553] | typological | h=None ds=None | Last great Urartian administrative citadel, burned by Scythians or Medes. | al=Karmir Blur,Yerevan
west-asia.city-tel-dan | Dan | West Asia | s=-4500 e=-700 ext=None b=[-4770, -4230] | typological | h=None ds=None | Israelite cult city with a mudbrick gate arch and the earliest extrabiblical mention of David. | al=Tel Dan,Laish,Northern District
west-asia.city-tell-al-ubaid | Tell al-Ubaid | West Asia | s=-5500 e=-2000 ext=None b=[-5830, -5170] | typological | h=None ds=None | Type-site of the Ubaid culture that seeded southern Mesopotamian urbanism. | al=Ubaid,Dhi Qar
west-asia.city-tell-brak | Tell Brak | West Asia | s=-6000 e=-1200 ext=None b=[-6360, -5640] | typological | h=None ds=None | One of the oldest cities anywhere, with the Eye Temple and a Hurrian-Akkadian palace. | al=Nagar,Nawar,Hasakah
west-asia.city-tell-es-sawwan | Tell es-Sawwan | West Asia | s=-6300 e=-5000 ext=None b=[-6678, -5922] | typological | h=None ds=None | Walled Samarran village showing the first irrigation farming on the Tigris; not a city. | al=Salah ad-Din
west-asia.city-tell-halaf | Tell Halaf | West Asia | s=-6100 e=-600 ext=None b=[-6466, -5734] | typological | h=None ds=None | Type-site of Halaf painted pottery, later an Aramaean capital of carved orthostats. | al=Guzana,Gozan,Hasakah
west-asia.city-tell-leilan | Tell Leilan | West Asia | s=-5000 e=-1700 ext=None b=[-5300, -4700] | typological | h=None ds=None | Shamshi-Adad's Upper Mesopotamian capital, abandoned after a drought collapse. | al=Shubat-Enlil,Shehna,Hasakah
west-asia.city-tell-mozan | Urkesh | West Asia | s=-3000 e=-1300 ext=None b=[-3180, -2820] | typological | h=None ds=None | Hurrian royal city with the earliest Hurrian inscriptions and a necromantic pit. | al=Tell Mozan,Hasakah
west-asia.city-tepe-gawra | Tepe Gawra | West Asia | s=-5000 e=-1500 ext=None b=[-5750, -4250] | typological | h=None ds=None | Northern Mesopotamian mound documenting the rise of temples and seals before writing. | al=Nineveh
west-asia.city-tepe-hissar | Tepe Hissar | West Asia | s=-4500 e=-1700 ext=None b=[-5175, -3825] | typological | h=None ds=None | Northern Iranian craft and metal town on the route to Central Asia. | al=Tepe Hesar,Semnan
west-asia.city-tepe-sialk | Tepe Sialk | West Asia | s=-6000 e=-800 ext=None b=[-6900, -5100] | typological | h=None ds=None | Long-lived plateau mound with a ziggurat-like platform and early metallurgy. | al=Sialk,Isfahan
west-asia.city-tepe-yahya | Tepe Yahya | West Asia | s=-4900 e=300 ext=None b=[-5635, -4165] | typological | h=None ds=None | Chlorite-working town linking Mesopotamia, Elam and the Indus. | al=Kerman
west-asia.city-terqa | Terqa | West Asia | s=-2900 e=-300 ext=None b=[-3335, -2465] | typological | h=None ds=None | Middle Euphrates town of Dagan's temple, closely tied to Mari. | al=Tell Ashara,Sirqu,Deir ez-Zor
west-asia.city-thaj | Thaj | West Asia | s=-300 e=300 ext=None b=[-350, -250] | typological | h=None ds=None | Walled Hellenistic-era eastern Arabian city, possibly the Gerrha of Greek sources. | al=Gerrha?,Eastern Province
west-asia.city-tiberias | Tiberias | West Asia | s=20 e=None ext=True b=[-5, 45] | typological | h=None ds=None | Rabbinic capital where the Jerusalem Talmud and Masoretic text were codified. | al=Tabariyya,Northern District
west-asia.city-tigranocerta | Tigranocerta | West Asia | s=-80 e=400 ext=None b=[-130, -30] | typological | h=None ds=None | Tigranes the Great's showpiece capital, sacked by Lucullus soon after founding. | al=Tigranakert,southeastern Turkey
west-asia.city-tikrit | Tikrit | West Asia | s=300 e=None ext=True b=[250, 350] | typological | h=None ds=None | Fortress town on the Tigris, a Syriac Christian seat and Saladin's birthplace. | al=Salah ad-Din
west-asia.city-timna-copper | Timna | West Asia | s=-1300 e=-900 ext=None b=[-1495, -1105] | typological | h=None ds=None | Industrial copper-smelting camp complex, not a city. | al=Timna Valley,Southern District
west-asia.city-tirzah | Tirzah | West Asia | s=-3000 e=-600 ext=None b=[-3450, -2550] | typological | h=None ds=None | Early capital of the northern Israelite kingdom before Samaria. | al=Tell el-Farah North,West Bank
west-asia.city-trapezus | Trapezus | West Asia | s=-756 e=None ext=True b=[-801, -711] | typological | h=None ds=None | Black Sea silk-route terminus and capital of the last Byzantine successor empire. | al=Trabzon,Trebizond
west-asia.city-tripoli-lebanon | Tripoli | West Asia | s=-700 e=None ext=True b=[-805, -595] | typological | h=None ds=None | Phoenician federal port, later a Crusader county and Mamluk centre of paper and sugar. | al=Tarabulus,Athar,North Lebanon
west-asia.city-tus | Tus | West Asia | s=300 e=1400 ext=None b=[250, 350] | typological | h=None ds=None | Khorasani city of Firdawsi and al-Ghazali, ruined by Timurid warfare. | al=Tous,Razavi Khorasan
west-asia.city-tushpa | Tushpa | West Asia | s=-840 e=None ext=True b=[-890, -790] | typological | h=None ds=None | Rock-citadel capital of Urartu with royal cuneiform annals and vast canal works. | al=Van Kalesi,Van
west-asia.city-tuttul | Tuttul | West Asia | s=-2800 e=-1200 ext=None b=[-3220, -2380] | typological | h=None ds=None | Bronze Age city at the Balikh confluence, a cult seat of Dagan. | al=Tell Bi'a,Raqqa
west-asia.city-ubar | Ubar | West Asia | s=-200 e=500 ext=None b=[-250, -150] | typological | h=None ds=None | Caravan waterhole and fort of the incense route, identified with legendary Iram. | al=Shisr,Iram,Dhofar
west-asia.city-ugarit | Ugarit | West Asia | s=-6000 e=-1190 ext=None b=[-6120, -5880] | typological | h=None ds=None | Canaanite port whose alphabetic cuneiform archives preserved West Semitic myth; destroyed in the Bronze Age collapse. | al=Ras Shamra,Latakia
west-asia.city-umma | Umma | West Asia | s=-3000 e=-1700 ext=None b=[-3180, -2820] | typological | h=None ds=None | Sumerian rival of Lagash in the earliest recorded border war. | al=Tell Jokha,Dhi Qar
west-asia.city-ur | Ur | West Asia | s=-3800 e=-400 ext=None b=[-4028, -3572] | typological | h=None ds=None | Third-Dynasty imperial capital with a great ziggurat and lavish royal tombs. | al=Tell al-Muqayyar,Urim,Dhi Qar
west-asia.city-veh-ardashir | Veh-Ardashir | West Asia | s=230 e=800 ext=None b=[180, 280] | typological | h=None ds=None | Sasanian round city facing Ctesiphon, a major Christian and Jewish centre. | al=Coche,Mahoza,Baghdad
west-asia.city-wasit | Wasit | West Asia | s=702 e=1600 ext=None b=[660, 744] | typological | h=None ds=None | Umayyad administrative city midway on the Tigris, abandoned as the river shifted. | al=
west-asia.city-xanthos | Xanthos | West Asia | s=-800 e=700 ext=None b=[-848, -752] | typological | h=None ds=None | Chief city of Lycia, famed for pillar tombs and its own written language. | al=Xanthus,Arna,Antalya
west-asia.city-yazd | Yazd | West Asia | s=400 e=None ext=True b=[340, 460] | typological | h=None ds=None | Desert silk city of wind-catchers and a stronghold of Zoroastrianism. | al=
west-asia.city-yazilikaya | Yazılıkaya | West Asia | s=-1500 e=-1180 ext=None b=[-1590, -1410] | typological | h=None ds=None | Rock sanctuary of the Hittite pantheon beside Hattusa; ceremonial, not a city. | al=Yazilikaya,Corum
west-asia.city-zabalam | Zabalam | West Asia | s=-3000 e=-1500 ext=None b=[-3450, -2550] | typological | h=None ds=None | Early cult centre of Inanna listed among the oldest Sumerian towns. | al=Tell Ibzeikh,Dhi Qar
west-asia.city-zabid | Zabid | West Asia | s=820 e=None ext=True b=[697, 943] | typological | h=None ds=None | Tihama city whose university spread Islamic learning and algebra in Yemen. | al=Hodeidah
west-asia.city-zafar | Zafar | West Asia | s=-100 e=600 ext=None b=[-125, -75] | typological | h=None ds=None | Highland capital of Himyar, which unified Yemen and adopted monotheism. | al=Dhafar,Zafar Himyar,Ibb
west-asia.city-zincirli | Sam'al | West Asia | s=-1000 e=-600 ext=None b=[-1060, -940] | typological | h=None ds=None | Aramaean-Luwian royal city with a circular wall and Aramaic funerary stelae. | al=Zincirli,Yadiya,Gaziantep
west-asia.mesopotamia.phoenicia.arwad | Arwad | Phoenician City-States < Mesopotamia & Levant < West Asia | s=-1200 e=-332 ext=None b=[-1450, -950] | unknown | h=None ds=None | The northernmost city, on an island off the Syrian coast. | al=
west-asia.mesopotamia.phoenicia.byblos | Byblos | Phoenician City-States < Mesopotamia & Levant < West Asia | s=-3000 e=-332 ext=None b=[-3200, -2800] | unknown | h=None ds=None | The oldest of the cities and the earliest to dominate, trading cedar with Egypt from the third millennium. | al=
west-asia.mesopotamia.phoenicia.sidon | Sidon | Phoenician City-States < Mesopotamia & Levant < West Asia | s=-1200 e=-332 ext=None b=[-1400, -1000] | unknown | h=None ds=None | Held primacy between the Byblian and Tyrian phases, and revolted against Persia in the 350s. | al=
west-asia.mesopotamia.phoenicia.tyre | Tyre | Phoenician City-States < Mesopotamia & Levant < West Asia | s=-1200 e=-332 ext=None b=[-1400, -1000] | unknown | h=None ds=None | Dominant from the tenth century, founded Carthage and the western colonies, and fell to Alexander after a seven-month siege. | al=
